time,value
2023-03-13T09:11:18.391Z,59.900001525878906
2023-03-13T09:11:20.503Z,59.900001525878906
2023-03-13T09:11:22.608Z,59.900001525878906
2023-03-13T09:11:24.713Z,59.900001525878906
2023-03-13T09:11:26.818Z,59.900001525878906
2023-03-13T09:11:28.932Z,59.900001525878906
2023-03-13T09:11:31.031Z,59.900001525878906
2023-03-13T09:11:33.147Z,60
2023-03-13T09:11:35.253Z,60
2023-03-13T09:11:37.363Z,59.900001525878906
2023-03-13T09:11:39.472Z,60
2023-03-13T09:11:41.575Z,60
2023-03-13T09:11:43.697Z,60
2023-03-13T09:11:45.817Z,60
2023-03-13T09:11:47.916Z,60
2023-03-13T09:11:50.021Z,60
2023-03-13T09:11:52.129Z,60
2023-03-13T09:11:54.243Z,60
2023-03-13T09:11:56.353Z,60
2023-03-13T09:11:58.455Z,60
2023-03-13T09:12:00.585Z,60
2023-03-13T09:12:02.686Z,60
2023-03-13T09:12:04.794Z,60
2023-03-13T09:12:06.898Z,60
2023-03-13T09:12:09.016Z,60
2023-03-13T09:12:11.117Z,60
2023-03-13T09:12:13.228Z,59.900001525878906
2023-03-13T09:12:15.332Z,59.900001525878906
2023-03-13T09:12:17.443Z,60
2023-03-13T09:12:19.55Z,59.900001525878906
2023-03-13T09:12:21.667Z,60
2023-03-13T09:12:23.77Z,59.900001525878906
2023-03-13T09:12:25.88Z,60
2023-03-13T09:12:27.986Z,60
2023-03-13T09:12:30.114Z,60
2023-03-13T09:12:32.208Z,59.900001525878906
2023-03-13T09:12:34.323Z,60
2023-03-13T09:12:36.433Z,59.900001525878906
2023-03-13T09:12:38.544Z,60
2023-03-13T09:12:40.645Z,59.900001525878906
2023-03-13T09:12:42.756Z,59.900001525878906
2023-03-13T09:12:44.867Z,59.900001525878906
2023-03-13T09:12:46.996Z,60
2023-03-13T09:12:49.088Z,60
2023-03-13T09:12:51.195Z,59.900001525878906
2023-03-13T09:12:53.31Z,60
2023-03-13T09:12:55.416Z,60
2023-03-13T09:12:57.527Z,60
2023-03-13T09:12:59.641Z,59.900001525878906
2023-03-13T09:13:01.738Z,59.900001525878906
2023-03-13T09:13:03.862Z,59.900001525878906
2023-03-13T09:13:05.964Z,59.900001525878906
2023-03-13T09:13:08.066Z,59.900001525878906
2023-03-13T09:13:10.189Z,59.900001525878906
2023-03-13T09:13:12.288Z,59.900001525878906
2023-03-13T09:13:14.4Z,59.900001525878906
2023-03-13T09:13:16.518Z,59.900001525878906
2023-03-13T09:13:18.616Z,59.900001525878906
2023-03-13T09:13:20.731Z,60
2023-03-13T09:13:22.835Z,60
2023-03-13T09:13:24.95Z,59.900001525878906
2023-03-13T09:13:27.049Z,59.900001525878906
2023-03-13T09:13:29.156Z,59.900001525878906
2023-03-13T09:13:31.274Z,59.900001525878906
2023-03-13T09:13:33.394Z,59.900001525878906
2023-03-13T09:13:35.505Z,59.900001525878906
2023-03-13T09:13:37.607Z,59.900001525878906
2023-03-13T09:13:39.715Z,59.900001525878906
2023-03-13T09:13:41.828Z,59.900001525878906
2023-03-13T09:13:43.932Z,59.900001525878906
2023-03-13T09:13:46.042Z,59.900001525878906
2023-03-13T09:13:48.153Z,59.900001525878906
2023-03-13T09:13:50.26Z,59.900001525878906
2023-03-13T09:13:52.367Z,60
2023-03-13T09:13:54.484Z,60
2023-03-13T09:13:56.59Z,60
2023-03-13T09:13:58.701Z,59.900001525878906
2023-03-13T09:14:00.8Z,60
2023-03-13T09:14:02.926Z,60
2023-03-13T09:14:05.023Z,60
2023-03-13T09:14:07.135Z,60
2023-03-13T09:14:09.251Z,60
2023-03-13T09:14:11.354Z,60
2023-03-13T09:14:13.462Z,60
2023-03-13T09:14:17.583Z,60
2023-03-13T09:14:17.682Z,59.900001525878906
2023-03-13T09:14:19.792Z,59.900001525878906
2023-03-13T09:14:21.908Z,60
